,Diagnostic,Regula ML,Număr pacienți,Interpretarea clinică
10,Bacterial Infections,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender > 0.50 AND MONO <= 10.11 AND WBC > 11030.00 AND LYMP <= 44.50,91,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul > 0.50 și proporția monocitelor <= 10.11 și numărul de leucocite - White Blood Cells > 11030.00 și proportia limfocitelor <= 44.50
11,Bacterial Infections,RDW > 15.05 AND HCT <= 36.95 AND Hb > 12.05 AND MONO <= 9.99 AND WBC > 4250.00 AND LYMP <= 44.33 AND PLATELETS <= 451500.00 AND WBC > 10930.00 AND HCT > 23.77,20,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul <= 36.95 și nivelul hemoglobinei > 12.05 și proporția monocitelor <= 9.99 și numărul de leucocite - White Blood Cells > 4250.00 și proportia limfocitelor <= 44.33 și numărul de trombocite <= 451500.00 și numărul de leucocite - White Blood Cells > 10930.00 și hematocritul > 23.77
12,Bacterial Infections,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender <= 0.50 AND HCT > 39.99 AND Hb > 12.95 AND PLATELETS <= 648531.00 AND LYMP <= 45.75 AND WBC > 10765.00,12,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul <= 0.50 și hematocritul > 39.99 și nivelul hemoglobinei > 12.95 și numărul de trombocite <= 648531.00 și proportia limfocitelor <= 45.75 și numărul de leucocite - White Blood Cells > 10765.00
13,Bacterial Infections,RDW <= 15.05 AND RBC > 4.49 AND Hb <= 11.95 AND MCH > 23.60 AND WBC > 10760.00,10,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells > 4.49 și nivelul hemoglobinei <= 11.95 și Hemoglobină Eritrocitară Medie > 23.60 și numărul de leucocite - White Blood Cells > 10760.00
14,Bacterial Infections,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender <= 0.50 AND HCT <= 39.99 AND MCHC > 30.75 AND Hb > 12.95 AND PLATELETS <= 539382.00 AND LYMP <= 43.95,9,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul <= 0.50 și hematocritul <= 39.99 și Hemoglobină Eritrocitară MedieC > 30.75 și Concentrație Medie de Hemoglobină Eritrocitară > 30.75 și nivelul hemoglobinei > 12.95 și numărul de trombocite <= 539382.00 și proportia limfocitelor <= 43.95
15,Bacterial Infections,RDW <= 15.05 AND RBC <= 4.49 AND Hb <= 12.05 AND MCHC > 30.57 AND HCT > 36.85 AND Gender > 0.50 AND RBC > 3.65 AND WBC > 10930.00,7,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară MedieC > 30.57 și Concentrație Medie de Hemoglobină Eritrocitară > 30.57 și hematocritul > 36.85 și genul > 0.50 și numărul de eritrocite - Red Blood Cells > 3.65 și numărul de leucocite - White Blood Cells > 10930.00
16,Bacterial Infections,RDW <= 15.05 AND RBC <= 4.49 AND Hb <= 12.05 AND MCHC > 30.57 AND HCT <= 36.85 AND PLATELETS <= 778280.50 AND MCV > 71.65 AND Age > 66.50 AND WBC > 11720.00,5,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară MedieC > 30.57 și Concentrație Medie de Hemoglobină Eritrocitară > 30.57 și hematocritul <= 36.85 și numărul de trombocite <= 778280.50 și Volumul Erotricitar Mediu > 71.65 și vârsta > 66.50 și numărul de leucocite - White Blood Cells > 11720.00
17,Beta-Thalassemia Minor,RDW <= 15.05 AND RBC > 4.49 AND Hb <= 11.95 AND MCH <= 23.60,322,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells > 4.49 și nivelul hemoglobinei <= 11.95 și Hemoglobină Eritrocitară Medie <= 23.60
18,Beta-Thalassemia Minor,RDW <= 15.05 AND RBC <= 4.49 AND Hb <= 12.05 AND MCHC <= 30.57 AND MCV <= 76.12 AND RBC > 3.81 AND Gender > 0.50,20,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară MedieC <= 30.57 și Concentrație Medie de Hemoglobină Eritrocitară <= 30.57 și Volumul Erotricitar Mediu <= 76.12 și numărul de eritrocite - Red Blood Cells > 3.81 și genul > 0.50
19,Beta-Thalassemia Minor,RDW <= 15.05 AND RBC > 4.49 AND Hb > 11.95 AND WBC <= 11010.00 AND PLATELETS <= 450000.00 AND LYMP <= 45.25 AND WBC > 3945.00 AND PLATELETS > 149500.00 AND RBC <= 5.92 AND MCHC <= 30.85,2,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells > 4.49 și nivelul hemoglobinei > 11.95 și numărul de leucocite - White Blood Cells <= 11010.00 și numărul de trombocite <= 450000.00 și proportia limfocitelor <= 45.25 și numărul de leucocite - White Blood Cells > 3945.00 și numărul de trombocite > 149500.00 și numărul de eritrocite - Red Blood Cells <= 5.92 și Hemoglobină Eritrocitară MedieC <= 30.85 și Concentrație Medie de Hemoglobină Eritrocitară <= 30.85
20,Chronic Leukemias,RDW > 15.05 AND HCT > 36.95 AND LYMP > 44.10 AND Hb <= 12.85 AND WBC > 18760.00 AND PLATELETS <= 768070.00,68,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul > 36.95 și proportia limfocitelor > 44.10 și nivelul hemoglobinei <= 12.85 și numărul de leucocite - White Blood Cells > 18760.00 și numărul de trombocite <= 768070.00
21,Chronic Leukemias,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender <= 0.50 AND HCT > 39.99 AND Hb <= 12.95,22,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul <= 0.50 și hematocritul > 39.99 și nivelul hemoglobinei <= 12.95
22,Chronic Leukemias,RDW <= 15.05 AND RBC <= 4.49 AND Hb <= 12.05 AND MCHC > 30.57 AND HCT > 36.85 AND Gender > 0.50 AND RBC <= 3.65,8,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară MedieC > 30.57 și Concentrație Medie de Hemoglobină Eritrocitară > 30.57 și hematocritul > 36.85 și genul > 0.50 și numărul de eritrocite - Red Blood Cells <= 3.65
23,Infectious Mononucleosis,RDW <= 15.05 AND RBC > 4.49 AND Hb > 11.95 AND WBC > 11010.00 AND LYMP > 45.40 AND MONO > 8.67,126,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells > 4.49 și nivelul hemoglobinei > 11.95 și numărul de leucocite - White Blood Cells > 11010.00 și proportia limfocitelor > 45.40 și proporția monocitelor > 8.67
24,Infectious Mononucleosis,RDW > 15.05 AND HCT > 36.95 AND LYMP > 44.10 AND Hb > 12.85 AND MONO > 9.05,98,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul > 36.95 și proportia limfocitelor > 44.10 și nivelul hemoglobinei > 12.85 și proporția monocitelor > 9.05
25,Infectious Mononucleosis,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender > 0.50 AND MONO > 10.11 AND LYMP > 48.02,80,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul > 0.50 și proporția monocitelor > 10.11 și proportia limfocitelor > 48.02
26,Infectious Mononucleosis,RDW > 15.05 AND HCT <= 36.95 AND Hb > 12.05 AND MONO > 9.99,71,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul <= 36.95 și nivelul hemoglobinei > 12.05 și proporția monocitelor > 9.99
27,Infectious Mononucleosis,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender <= 0.50 AND HCT > 39.99 AND Hb > 12.95 AND PLATELETS <= 648531.00 AND LYMP > 45.75 AND Hb > 14.20 AND MONO > 10.97,4,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul <= 0.50 și hematocritul > 39.99 și nivelul hemoglobinei > 12.95 și numărul de trombocite <= 648531.00 și proportia limfocitelor > 45.75 și nivelul hemoglobinei > 14.20 și proporția monocitelor > 10.97
28,Iron Deficiency,RDW > 15.05 AND HCT <= 36.95 AND Hb <= 12.05 AND MCH <= 21.95 AND MCHC <= 30.95 AND MCV <= 75.95,133,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul <= 36.95 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară Medie <= 21.95 și Hemoglobină Eritrocitară MedieC <= 30.95 și Concentrație Medie de Hemoglobină Eritrocitară <= 30.95 și Volumul Erotricitar Mediu <= 75.95
29,Iron Deficiency,RDW > 15.05 AND HCT <= 36.95 AND Hb <= 12.05 AND MCH > 21.95 AND MCH <= 23.25 AND MCV <= 76.00 AND MCHC <= 30.95,29,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul <= 36.95 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară Medie > 21.95 și Hemoglobină Eritrocitară Medie <= 23.25 și Volumul Erotricitar Mediu <= 76.00 și Hemoglobină Eritrocitară MedieC <= 30.95 și Concentrație Medie de Hemoglobină Eritrocitară <= 30.95
30,Iron Deficiency,RDW > 15.05 AND HCT > 36.95 AND LYMP <= 44.10 AND WBC <= 11000.00 AND PLATELETS <= 447092.50 AND WBC > 4225.00 AND MCV <= 81.85 AND PLATELETS > 198000.00,10,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul > 36.95 și proportia limfocitelor <= 44.10 și numărul de leucocite - White Blood Cells <= 11000.00 și numărul de trombocite <= 447092.50 și numărul de leucocite - White Blood Cells > 4225.00 și Volumul Erotricitar Mediu <= 81.85 și numărul de trombocite > 198000.00
31,Iron Deficiency,RDW > 15.05 AND HCT <= 36.95 AND Hb > 12.05 AND MONO <= 9.99 AND WBC > 4250.00 AND LYMP <= 44.33 AND PLATELETS <= 451500.00 AND WBC > 10930.00 AND HCT <= 23.77,6,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul <= 36.95 și nivelul hemoglobinei > 12.05 și proporția monocitelor <= 9.99 și numărul de leucocite - White Blood Cells > 4250.00 și proportia limfocitelor <= 44.33 și numărul de trombocite <= 451500.00 și numărul de leucocite - White Blood Cells > 10930.00 și hematocritul <= 23.77
32,Iron Deficiency,RDW > 15.05 AND HCT > 36.95 AND LYMP <= 44.10 AND WBC <= 11000.00 AND PLATELETS <= 447092.50 AND WBC <= 4225.00 AND Hb <= 12.90,4,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul > 36.95 și proportia limfocitelor <= 44.10 și numărul de leucocite - White Blood Cells <= 11000.00 și numărul de trombocite <= 447092.50 și numărul de leucocite - White Blood Cells <= 4225.00 și nivelul hemoglobinei <= 12.90
33,Leukocytosis,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender > 0.50 AND MONO <= 10.11 AND WBC > 11030.00 AND LYMP > 44.50,53,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul > 0.50 și proporția monocitelor <= 10.11 și numărul de leucocite - White Blood Cells > 11030.00 și proportia limfocitelor > 44.50
34,Leukocytosis,RDW <= 15.05 AND RBC > 4.49 AND Hb > 11.95 AND WBC > 11010.00 AND LYMP > 45.40 AND MONO <= 8.67,23,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells > 4.49 și nivelul hemoglobinei > 11.95 și numărul de leucocite - White Blood Cells > 11010.00 și proportia limfocitelor > 45.40 și proporția monocitelor <= 8.67
35,Leukocytosis,RDW > 15.05 AND HCT > 36.95 AND LYMP > 44.10 AND Hb > 12.85 AND MONO <= 9.05 AND WBC > 10925.00,19,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul > 36.95 și proportia limfocitelor > 44.10 și nivelul hemoglobinei > 12.85 și proporția monocitelor <= 9.05 și numărul de leucocite - White Blood Cells > 10925.00
36,Leukocytosis,RDW > 15.05 AND HCT <= 36.95 AND Hb > 12.05 AND MONO <= 9.99 AND WBC > 4250.00 AND LYMP > 44.33 AND WBC > 10660.00,18,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul <= 36.95 și nivelul hemoglobinei > 12.05 și proporția monocitelor <= 9.99 și numărul de leucocite - White Blood Cells > 4250.00 și proportia limfocitelor > 44.33 și numărul de leucocite - White Blood Cells > 10660.00
37,Leukocytosis,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender <= 0.50 AND HCT <= 39.99 AND MCHC > 30.75 AND Hb > 12.95 AND PLATELETS <= 539382.00 AND LYMP > 43.95,8,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul <= 0.50 și hematocritul <= 39.99 și Hemoglobină Eritrocitară MedieC > 30.75 și Concentrație Medie de Hemoglobină Eritrocitară > 30.75 și nivelul hemoglobinei > 12.95 și numărul de trombocite <= 539382.00 și proportia limfocitelor > 43.95
38,Leukocytosis,RDW > 15.05 AND HCT > 36.95 AND LYMP > 44.10 AND Hb <= 12.85 AND WBC <= 18760.00 AND Gender > 0.50 AND WBC > 11855.00,5,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul > 36.95 și proportia limfocitelor > 44.10 și nivelul hemoglobinei <= 12.85 și numărul de leucocite - White Blood Cells <= 18760.00 și genul > 0.50 și numărul de leucocite - White Blood Cells > 11855.00
39,Leukocytosis,RDW > 15.05 AND HCT > 36.95 AND LYMP > 44.10 AND Hb <= 12.85 AND WBC > 18760.00 AND PLATELETS > 768070.00,5,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul > 36.95 și proportia limfocitelor > 44.10 și nivelul hemoglobinei <= 12.85 și numărul de leucocite - White Blood Cells > 18760.00 și numărul de trombocite > 768070.00
40,Leukocytosis,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender <= 0.50 AND HCT > 39.99 AND Hb > 12.95 AND PLATELETS <= 648531.00 AND LYMP > 45.75 AND Hb > 14.20 AND MONO <= 10.97,4,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul <= 0.50 și hematocritul > 39.99 și nivelul hemoglobinei > 12.95 și numărul de trombocite <= 648531.00 și proportia limfocitelor > 45.75 și nivelul hemoglobinei > 14.20 și proporția monocitelor <= 10.97
41,Leukopenia,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender > 0.50 AND MONO <= 10.11 AND WBC <= 11030.00 AND WBC <= 4120.00 AND LYMP <= 43.50,64,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul > 0.50 și proporția monocitelor <= 10.11 și numărul de leucocite - White Blood Cells <= 11030.00 și numărul de leucocite - White Blood Cells <= 4120.00 și proportia limfocitelor <= 43.50
42,Leukopenia,RDW <= 15.05 AND RBC > 4.49 AND Hb > 11.95 AND WBC <= 11010.00 AND PLATELETS <= 450000.00 AND LYMP <= 45.25 AND WBC <= 3945.00,56,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells > 4.49 și nivelul hemoglobinei > 11.95 și numărul de leucocite - White Blood Cells <= 11010.00 și numărul de trombocite <= 450000.00 și proportia limfocitelor <= 45.25 și numărul de leucocite - White Blood Cells <= 3945.00
43,Leukopenia,RDW > 15.05 AND HCT <= 36.95 AND Hb > 12.05 AND MONO <= 9.99 AND WBC <= 4250.00 AND Age <= 59.00,40,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul <= 36.95 și nivelul hemoglobinei > 12.05 și proporția monocitelor <= 9.99 și numărul de leucocite - White Blood Cells <= 4250.00 și vârsta <= 59.00
44,Leukopenia,RDW > 15.05 AND HCT > 36.95 AND LYMP <= 44.10 AND WBC <= 11000.00 AND PLATELETS <= 447092.50 AND WBC <= 4225.00 AND Hb > 12.90,23,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul > 36.95 și proportia limfocitelor <= 44.10 și numărul de leucocite - White Blood Cells <= 11000.00 și numărul de trombocite <= 447092.50 și numărul de leucocite - White Blood Cells <= 4225.00 și nivelul hemoglobinei > 12.90
45,Leukopenia,RDW <= 15.05 AND RBC > 4.49 AND Hb > 11.95 AND WBC <= 11010.00 AND PLATELETS > 450000.00 AND WBC <= 2790.00,2,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells > 4.49 și nivelul hemoglobinei > 11.95 și numărul de leucocite - White Blood Cells <= 11010.00 și numărul de trombocite > 450000.00 și numărul de leucocite - White Blood Cells <= 2790.00
46,Microcytic Anemia,RDW <= 15.05 AND RBC <= 4.49 AND Hb <= 12.05 AND MCHC <= 30.57 AND MCV <= 76.12 AND RBC <= 3.81 AND MCH <= 27.10,127,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară MedieC <= 30.57 și Concentrație Medie de Hemoglobină Eritrocitară <= 30.57 și Volumul Erotricitar Mediu <= 76.12 și numărul de eritrocite - Red Blood Cells <= 3.81 și Hemoglobină Eritrocitară Medie <= 27.10
47,Microcytic Anemia,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender <= 0.50 AND HCT <= 39.99 AND MCHC <= 30.75 AND MCV <= 76.40,41,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul <= 0.50 și hematocritul <= 39.99 și Hemoglobină Eritrocitară MedieC <= 30.75 și Concentrație Medie de Hemoglobină Eritrocitară <= 30.75 și Volumul Erotricitar Mediu <= 76.40
48,Microcytic Anemia,RDW <= 15.05 AND RBC <= 4.49 AND Hb <= 12.05 AND MCHC <= 30.57 AND MCV <= 76.12 AND RBC > 3.81 AND Gender <= 0.50,8,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară MedieC <= 30.57 și Concentrație Medie de Hemoglobină Eritrocitară <= 30.57 și Volumul Erotricitar Mediu <= 76.12 și numărul de eritrocite - Red Blood Cells > 3.81 și genul <= 0.50
49,Microcytic Anemia,RDW <= 15.05 AND RBC <= 4.49 AND Hb <= 12.05 AND MCHC > 30.57 AND HCT <= 36.85 AND PLATELETS <= 778280.50 AND MCV <= 71.65 AND RDW <= 13.98,7,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară MedieC > 30.57 și Concentrație Medie de Hemoglobină Eritrocitară > 30.57 și hematocritul <= 36.85 și numărul de trombocite <= 778280.50 și Volumul Erotricitar Mediu <= 71.65 și variabilitatea dimensiunii eritrocitelor <= 13.98
50,Microcytic Anemia,RDW <= 15.05 AND RBC <= 4.49 AND Hb <= 12.05 AND MCHC > 30.57 AND HCT > 36.85 AND Gender <= 0.50 AND MCV <= 74.90,5,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară MedieC > 30.57 și Concentrație Medie de Hemoglobină Eritrocitară > 30.57 și hematocritul > 36.85 și genul <= 0.50 și Volumul Erotricitar Mediu <= 74.90
51,Normal,RDW <= 15.05 AND RBC > 4.49 AND Hb > 11.95 AND WBC <= 11010.00 AND PLATELETS <= 450000.00 AND LYMP <= 45.25 AND WBC > 3945.00 AND PLATELETS > 149500.00 AND RBC <= 5.92 AND MCHC > 30.85 AND Hb <= 16.05,188,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells > 4.49 și nivelul hemoglobinei > 11.95 și numărul de leucocite - White Blood Cells <= 11010.00 și numărul de trombocite <= 450000.00 și proportia limfocitelor <= 45.25 și numărul de leucocite - White Blood Cells > 3945.00 și numărul de trombocite > 149500.00 și numărul de eritrocite - Red Blood Cells <= 5.92 și Hemoglobină Eritrocitară MedieC > 30.85 și Concentrație Medie de Hemoglobină Eritrocitară > 30.85 și nivelul hemoglobinei <= 16.05
52,Normal,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender > 0.50 AND MONO <= 10.11 AND WBC <= 11030.00 AND WBC > 4120.00 AND LYMP <= 44.88 AND PLATELETS <= 439500.00 AND PLATELETS > 150000.00,101,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul > 0.50 și proporția monocitelor <= 10.11 și numărul de leucocite - White Blood Cells <= 11030.00 și numărul de leucocite - White Blood Cells > 4120.00 și proportia limfocitelor <= 44.88 și numărul de trombocite <= 439500.00 și numărul de trombocite > 150000.00
